Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_prc_stand_1:2_it3	t_wa_prc_stand_1:2_it2	prc	it3	1:2	stand	[]	it2	1:2	stand	[]	5.0	0.1281901743451078	0.9553328804347826	Sin_diferencia
t_wa_prc_stand_1:2_it3	t_wa_prc_stand_1:2_it1	prc	it3	1:2	stand	[]	it1	1:2	stand	[]	12.0	0.4609375	0.9939033294392523	Sin_diferencia
t_wa_prc_stand_1:2_it2	t_wa_prc_stand_1:2_it1	prc	it2	1:2	stand	[]	it1	1:2	stand	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:2_it3	t_wa_prc_norm_1:2_it2	prc	it3	1:2	norm	[]	it2	1:2	norm	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:2_it3	t_wa_prc_norm_1:2_it1	prc	it3	1:2	norm	[]	it1	1:2	norm	[]	11.0	0.3828125	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:2_it2	t_wa_prc_norm_1:2_it1	prc	it2	1:2	norm	[]	it1	1:2	norm	[]	10.0	0.3125	0.9939033294392523	Sin_diferencia
t_wa_prc_raw_1:3_it3	t_wa_prc_raw_1:3_it2	prc	it3	1:3	raw	[]	it2	1:3	raw	[]	14.0	0.640625	0.9939033294392523	Sin_diferencia
t_wa_prc_raw_1:3_it3	t_wa_prc_raw_1:3_it1	prc	it3	1:3	raw	[]	it1	1:3	raw	[]	13.0	0.546875	0.9939033294392523	Sin_diferencia
t_wa_prc_raw_1:3_it2	t_wa_prc_raw_1:3_it1	prc	it2	1:3	raw	[]	it1	1:3	raw	[]	13.0	0.546875	0.9939033294392523	Sin_diferencia
t_wa_prc_stand_1:3_it3	t_wa_prc_stand_1:3_it2	prc	it3	1:3	stand	[]	it2	1:3	stand	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_prc_stand_1:3_it3	t_wa_prc_stand_1:3_it1	prc	it3	1:3	stand	[]	it1	1:3	stand	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_prc_stand_1:3_it2	t_wa_prc_stand_1:3_it1	prc	it2	1:3	stand	[]	it1	1:3	stand	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:3_it3	t_wa_prc_norm_1:3_it2	prc	it3	1:3	norm	[]	it2	1:3	norm	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:3_it3	t_wa_prc_norm_1:3_it1	prc	it3	1:3	norm	[]	it1	1:3	norm	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_prc_norm_1:3_it2	t_wa_prc_norm_1:3_it1	prc	it2	1:3	norm	[]	it1	1:3	norm	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_precision_raw_3:1_it3	t_wa_precision_raw_3:1_it2	precision	it3	3:1	raw	[]	it2	3:1	raw	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_precision_raw_3:1_it3	t_wa_precision_raw_3:1_it1	precision	it3	3:1	raw	[]	it1	3:1	raw	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_precision_raw_3:1_it2	t_wa_precision_raw_3:1_it1	precision	it2	3:1	raw	[]	it1	3:1	raw	[]	17.0	0.9453125	0.9939033294392523	Sin_diferencia
t_wa_precision_stand_3:1_it3	t_wa_precision_stand_3:1_it2	precision	it3	3:1	stand	[]	it2	3:1	stand	[]	14.0	0.640625	0.9939033294392523	Sin_diferencia
t_wa_precision_stand_3:1_it3	t_wa_precision_stand_3:1_it1	precision	it3	3:1	stand	[]	it1	3:1	stand	[]	4.0	0.0546875	0.9553328804347826	Sin_diferencia
t_wa_precision_stand_3:1_it2	t_wa_precision_stand_3:1_it1	precision	it2	3:1	stand	[]	it1	3:1	stand	[]	4.0	0.0546875	0.9553328804347826	Sin_diferencia
t_wa_precision_norm_3:1_it3	t_wa_precision_norm_3:1_it2	precision	it3	3:1	norm	[]	it2	3:1	norm	[]	10.0	0.3125	0.9939033294392523	Sin_diferencia
t_wa_precision_norm_3:1_it3	t_wa_precision_norm_3:1_it1	precision	it3	3:1	norm	[]	it1	3:1	norm	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
