rcc	statistic	p-value	archivo	wilcox_bool	holmsidak_p	holmsidak_bool	bonfer_p	bonfer_bool	fdrbh_p	fdrbh_bool
2	51106422.0	2.1521145769568812e-14	7YesLat_UnionPairs	1	2.0676793610618915e-12	True	6.650034042796763e-12	True	3.105171316938925e-14	True
3	51600506.5	3.864105050044638e-13	7YesLat_UnionPairs	1	3.5931257968968566e-11	True	1.1940084604637933e-10	True	5.502343135777849e-13	True
4	32617307.5	4.943272450255326e-100	7YesLat_UnionPairs	1	0.0	True	1.5274711871288958e-97	True	8.985124630169975e-99	True
5	43421053.0	8.386775487991035e-40	7YesLat_UnionPairs	1	0.0	True	2.59151362578923e-37	True	2.0246200201478355e-39	True
6	58070897.5	0.01003350899934758	7YesLat_UnionPairs	1	0.2459956556188012	False	1.0	False	0.01099416411630639	True
7	47477696.0	1.9697683555569992e-24	7YesLat_UnionPairs	1	0.0	True	6.086584218671128e-22	True	3.326002305284769e-24	True
8	51441237.0	2.1567084283164654e-13	7YesLat_UnionPairs	1	2.0277335366358784e-11	True	6.664229043497879e-11	True	3.08529122384161e-13	True
9	34826995.0	5.3110998181937735e-87	7YesLat_UnionPairs	1	0.0	True	1.641129843821876e-84	True	4.435486064383449e-86	True
10	32927287.0	6.823899180144587e-98	7YesLat_UnionPairs	1	0.0	True	2.1085848466646775e-95	True	1.004088022221275e-96	True
11	33338414.5	4.237494148375145e-95	7YesLat_UnionPairs	1	0.0	True	1.3093856918479198e-92	True	5.455773716033e-94	True
12	45626631.5	5.3985091044522e-31	7YesLat_UnionPairs	1	0.0	True	1.6681393132757297e-28	True	1.0693200726126472e-30	True
13	36962873.0	1.9463918530396396e-72	7YesLat_UnionPairs	1	0.0	True	6.014350825892486e-70	True	9.700565848213687e-72	True
14	42665950.5	4.23059556751664e-43	7YesLat_UnionPairs	1	0.0	True	1.3072540303626417e-40	True	1.0715196970185588e-42	True
15	55985191.5	7.21211427432362e-05	7YesLat_UnionPairs	1	0.00352782598412571	True	0.022285433107659985	True	8.53848011787739e-05	True
16	57230020.0	1.0357259174996172e-07	7YesLat_UnionPairs	1	7.25005551449609e-06	True	3.200393085073817e-05	True	1.3334971187807572e-07	True
17	38846592.0	1.7726653642780295e-64	7YesLat_UnionPairs	1	0.0	True	5.477535975619111e-62	True	7.503473939204262e-64	True
18	30410267.0	5.922859261135756e-116	7YesLat_UnionPairs	1	0.0	True	1.8301635116909487e-113	True	3.660327023381897e-114	True
19	34037893.5	1.0078012668323167e-90	7YesLat_UnionPairs	1	0.0	True	3.1141059145118584e-88	True	1.0380353048372863e-89	True
20	34304335.5	5.644181236437831e-89	7YesLat_UnionPairs	1	0.0	True	1.7440520020592898e-86	True	4.9830057201693994e-88	True
21	33142707.5	2.01060561718837e-96	7YesLat_UnionPairs	1	0.0	True	6.212771357112063e-94	True	2.823986980505483e-95	True
22	39744492.5	2.6263495996309037e-57	7YesLat_UnionPairs	1	0.0	True	8.115420262859493e-55	True	8.821108981369013e-57	True
23	38607766.5	5.696919464149704e-65	7YesLat_UnionPairs	1	0.0	True	1.7603481144222584e-62	True	2.444927936697581e-64	True
24	45141798.0	6.435616544087384e-33	7YesLat_UnionPairs	1	0.0	True	1.9886055121230014e-30	True	1.308293100080922e-32	True
25	42313669.5	1.039010737965819e-44	7YesLat_UnionPairs	1	0.0	True	3.2105431803143807e-42	True	2.697935445642337e-44	True
26	45263762.0	2.517970864125791e-32	7YesLat_UnionPairs	1	0.0	True	7.780529970148694e-30	True	5.052292188408243e-32	True
27	45256181.5	2.1144250804026624e-32	7YesLat_UnionPairs	1	0.0	True	6.533573498444227e-30	True	4.270309476107338e-32	True
28	54581440.5	4.264098208255545e-07	7YesLat_UnionPairs	1	2.814265816009076e-05	True	0.00013176063463509635	True	5.400026009635096e-07	True
29	47107513.0	2.4231902771679096e-26	7YesLat_UnionPairs	1	0.0	True	7.48765795644884e-24	True	4.278661689399337e-26	True
